"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
where_contact_d1_hh_3,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_3]=""1""",y,,,,,
location_contact_d1_hh_3,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_3]=""1""",y,,,,,
location_contact_other_d1_3,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_3(12)]=""1""",y,,,,,
contact_mask_d1_hh_3,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_3]=""1""",y,,,,,
duration_contact_d1_hh_3,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_3]=""1""",y,,,,,
frequency_contact_d1_hh_3,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_3]=""1""",y,,,,,
known_contact_d1_hh_3,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_3]=""1""",y,,,,,
contact_id_d1_hh_4,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][4]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 4",y,,,,,
touch_contact_d1_hh_4,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_4]=""1""",y,,,,,
where_contact_d1_hh_4,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_4]=""1""",y,,,,,
location_contact_d1_hh_4,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_4]=""1""",y,,,,,
location_contact_other_d1_4,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_4(12)]=""1""",y,,,,,
contact_mask_d1_hh_4,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_4]=""1""",y,,,,,
duration_contact_d1_hh_4,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_4]=""1""",y,,,,,
frequency_contact_d1_hh_4,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_4]=""1""",y,,,,,
known_contact_d1_hh_4,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_4]=""1""",y,,,,,
contact_id_d1_hh_5,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][5]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 5",y,,,,,
touch_contact_d1_hh_5,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_5]=""1""",y,,,,,
where_contact_d1_hh_5,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_5]=""1""",y,,,,,
location_contact_d1_hh_5,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_5]=""1""",y,,,,,
location_contact_other_d1_5,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_5(12)]=""1""",y,,,,,
contact_mask_d1_hh_5,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_5]=""1""",y,,,,,
duration_contact_d1_hh_5,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_5]=""1""",y,,,,,
frequency_contact_d1_hh_5,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_5]=""1""",y,,,,,
known_contact_d1_hh_5,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_5]=""1""",y,,,,,
contact_id_d1_hh_6,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][6]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 6",y,,,,,
touch_contact_d1_hh_6,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_6]=""1""",y,,,,,
where_contact_d1_hh_6,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_6]=""1""",y,,,,,
location_contact_d1_hh_6,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_6]=""1""",y,,,,,
location_contact_other_d1_6,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_6(12)]=""1""",y,,,,,
contact_mask_d1_hh_6,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_6]=""1""",y,,,,,
duration_contact_d1_hh_6,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_6]=""1""",y,,,,,
frequency_contact_d1_hh_6,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_6]=""1""",y,,,,,
known_contact_d1_hh_6,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_6]=""1""",y,,,,,
contact_id_d1_hh_7,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][7]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 7",y,,,,,
touch_contact_d1_hh_7,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_7]=""1""",y,,,,,
where_contact_d1_hh_7,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_7]=""1""",y,,,,,
location_contact_d1_hh_7,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_7]=""1""",y,,,,,
location_contact_other_d1_7,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_7(12)]=""1""",y,,,,,
contact_mask_d1_hh_7,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_7]=""1""",y,,,,,
duration_contact_d1_hh_7,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_7]=""1""",y,,,,,
frequency_contact_d1_hh_7,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_7]=""1""",y,,,,,
known_contact_d1_hh_7,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_7]=""1""",y,,,,,
contact_id_d1_hh_8,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][8]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 8",y,,,,,
touch_contact_d1_hh_8,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_8]=""1""",y,,,,,
where_contact_d1_hh_8,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_8]=""1""",y,,,,,
location_contact_d1_hh_8,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_8]=""1""",y,,,,,
location_contact_other_d1_8,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_8(12)]=""1""",y,,,,,
contact_mask_d1_hh_8,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_8]=""1""",y,,,,,
duration_contact_d1_hh_8,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_8]=""1""",y,,,,,
frequency_contact_d1_hh_8,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_8]=""1""",y,,,,,
known_contact_d1_hh_8,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_8]=""1""",y,,,,,
contact_id_d1_hh_9,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][9]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 9",y,,,,,
touch_contact_d1_hh_9,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_9]=""1""",y,,,,,
where_contact_d1_hh_9,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_9]=""1""",y,,,,,
location_contact_d1_hh_9,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_9]=""1""",y,,,,,
location_contact_other_d1_9,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_9(12)]=""1""",y,,,,,
contact_mask_d1_hh_9,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_9]=""1""",y,,,,,
duration_contact_d1_hh_9,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_9]=""1""",y,,,,,
frequency_contact_d1_hh_9,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_9]=""1""",y,,,,,
known_contact_d1_hh_9,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_9]=""1""",y,,,,,
contact_id_d1_hh_10,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][10]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 10",y,,,,,
touch_contact_d1_hh_10,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_10]=""1""",y,,,,,
where_contact_d1_hh_10,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_10]=""1""",y,,,,,
location_contact_d1_hh_10,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_10]=""1""",y,,,,,
location_contact_other_d1_10,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_10(12)]=""1""",y,,,,,
contact_mask_d1_hh_10,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_10]=""1""",y,,,,,
